身分證,學號,姓名,科系,性別,居住地
A134464911,10946062,林O彥,多媒體設計系,男,臺北市
A160288049,10836099,劉O雅,會計資訊系,男,臺北市
A106783170,10226045,蕭O啟,企業管理系,男,臺北市
A296307339,10916039,高O芳,資訊工程系,女,臺北市
A265493766,10966003,李O呈,資訊管理系,女,臺北市
A254354043,10946099,王O雅,多媒體設計系,女,臺北市
A216912667,10946333,李O尚,多媒體設計系,女,臺北市
C121784193,10956044,劉O逸,應用外語系,男,基隆市
J185939036,10926333,陳O曉,企業管理系,男,新竹縣
L108950990,10966009,陳O志,資訊管理系,男,臺中縣
Q192718104,10956223,林O雅,應用外語系,男,嘉義縣
Q214873777,10836009,李O怡,會計資訊系,女,嘉義縣
T235827081,10336022,陳O佩,會計資訊系,女,屏東縣
T235827081,10526999,李O佩,企業管理系,女,屏東縣
H275440103,10216022,鄭O宥,資訊工程系,女,桃園市
